"ID" "Mark level" "Age class" "Gender" "TOT" "Data" "Observed"
"UNIRM_201" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_202" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_203" "LM" "A" "F" 1 2017-08-20 0
"UNIRM_204" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_205" "LM" "A" "U" 3 2017-08-20 0
"UNIRM_206" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_207" "LM" "A" "U" 2 2017-08-20 0
"UNIRM_208" "LM" "A" "U" 3 2017-08-20 0
"UNIRM_209" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_210" "WM" "A" "U" 9 2017-08-20 0
"UNIRM_211" "WM" "A" "U" 6 2017-08-20 0
"UNIRM_212" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_213" "LM" "A" "U" 4 2017-08-20 0
"UNIRM_214" "WM" "A" "F" 5 2017-08-20 0
"UNIRM_215" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_216" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_217" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_218" "WM" "A" "U" 2 2017-08-20 0
"UNIRM_219" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_220" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_221" "LM" "A" "F" 8 2017-08-20 0
"UNIRM_223" "LM" "A" "F" 3 2017-08-20 0
"UNIRM_224" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_225" "LM" "A" "U" 2 2017-08-20 0
"UNIRM_226" "WM" "A" "U" 8 2017-08-20 0
"UNIRM_227" "LM" "A" "U" 3 2017-08-20 0
"UNIRM_228" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_229" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_230" "WM" "A" "U" 7 2017-08-20 0
"UNIRM_233" "LM" "A" "U" 3 2017-08-20 0
"UNIRM_234" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_235" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_237" "WM" "A" "U" 4 2017-08-20 0
"UNIRM_238" "WM" "A" "F" 1 2017-08-20 0
"UNIRM_239" "LM" "A" "U" 11 2017-08-20 0
"UNIRM_240" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_241" "LM" "A" "U" 5 2017-08-20 0
"UNIRM_242" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_243" "WM" "A" "U" 3 2017-08-20 0
"UNIRM_244" "WM" "A" "U" 3 2017-08-20 0
"UNIRM_245" "LM" "A" "U" 3 2017-08-20 0
"UNIRM_246" "WM" "A" "U" 2 2017-08-20 0
"UNIRM_247" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_248" "WM" "A" "U" 2 2017-08-20 0
"UNIRM_249" "WM" "A" "F" 2 2017-08-20 0
"UNIRM_250" "LM" "A" "U" 4 2017-08-20 0
"UNIRM_251" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_252" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_253" "WM" "A" "U" 2 2017-08-20 0
"UNIRM_254" "WM" "A" "U" 2 2017-08-20 0
"UNIRM_255" "WM" "A" "U" 2 2017-08-20 0
"UNIRM_256" "LM" "A" "U" 2 2017-08-20 0
"UNIRM_257" "LM" "A" "F" 2 2017-08-20 0
"UNIRM_258" "PM" "A" "U" 2 2017-08-20 0
"UNIRM_259" "WM" "A" "U" 3 2017-08-20 0
"UNIRM_260" "WM" "A" "U" 2 2017-08-20 0
"UNIRM_261" "WM" "A" "U" 5 2017-08-20 0
"UNIRM_262" "WM" "A" "U" 3 2017-08-20 0
"UNIRM_263" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_264" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_265" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_266" "WM" "A" "U" 3 2017-08-20 0
"UNIRM_267" "WM" "A" "U" 1 2017-08-20 0
"UNIRM_268" "WM" "A" "U" 2 2017-08-20 0
"UNIRM_269" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_270" "WM" "A" "U" 2 2017-08-20 0
"UNIRM_271" "LM" "A" "U" 1 2017-08-20 0
"UNIRM_272" "LM" "A" "U" 2 2017-08-20 0
